Q,A
쉐플레라 '홍콩'의 병충해 알려 주세요.,"병충해는 깍지벌레, 개각충, 진딧물 "
스킨답서스의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
스킨답서스의 광요구도 알려 주세요.,"광요구도는 낮은 광도(300에서 800 Lux),중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
스킨답서스의 배치장소 알려 주세요.,"배치장소는 실내 어두운 곳 (실내깊이 500 이상cm),거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
스킨답서스의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
스킨답서스의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
스킨답서스의 습도 알려 주세요.,습도는 40 에서 70% 
스킨답서스의 비료 알려 주세요.,비료는 보통 요구함 
스킨답서스의 토양 알려 주세요.,토양은 포름알데히드 
스킨답서스의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
스킨답서스의 병충해 알려 주세요.,"병충해는 깍지벌레, 총채벌레 "
스파티필룸의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
스파티필룸의 광요구도 알려 주세요.,"광요구도는 낮은 광도(300에서 800 Lux),중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
스파티필룸의 배치장소 알려 주세요.,"배치장소는 실내 어두운 곳 (실내깊이 500 이상cm),거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
스파티필룸의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
스파티필룸의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
스파티필룸의 습도 알려 주세요.,습도는 40 에서 70% 
스파티필룸의 비료 알려 주세요.,비료는 많이 요구함 
스파티필룸의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
스파티필룸 (광엽)의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
스파티필룸 (광엽)의 광요구도 알려 주세요.,"광요구도는 낮은 광도(300에서 800 Lux),중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
스파티필룸 (광엽)의 배치장소 알려 주세요.,"배치장소는 실내 어두운 곳 (실내깊이 500 이상cm),거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
스파티필룸 (광엽)의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
스파티필룸 (광엽)의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
스파티필룸 (광엽)의 습도 알려 주세요.,습도는 40 에서 70% 
스파티필룸 (광엽)의 비료 알려 주세요.,비료는 많이 요구함 
스파티필룸 (광엽)의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
시서스의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
시서스의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
시서스의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
시서스의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
시서스의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
시서스의 습도 알려 주세요.,습도는 40 에서 70% 
시서스의 비료 알려 주세요.,비료는 보통 요구함 
시서스의 토양 알려 주세요.,토양은 부식토 
시서스의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
시클라멘의 관리요구도 알려 주세요.,관리요구도는 필요함 
시클라멘의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
시클라멘의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
시클라멘의 생장속도 알려 주세요.,생장속도는 느림 
시클라멘의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
시클라멘의 겨울최저온도 알려 주세요.,겨울최저온도는 7℃ 
시클라멘의 습도 알려 주세요.,습도는 40 에서 70% 
시클라멘의 비료 알려 주세요.,비료는 보통 요구함 
시클라멘의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 토양 표면이 말랐을때 충분히 관수함 ,관리요구도는 필요함 "
심비디움의 관리요구도 알려 주세요.,관리요구도는 필요함 
심비디움의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
심비디움의 배치장소 알려 주세요.,"배치장소는 발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
심비디움의 생장속도 알려 주세요.,생장속도는 보통 
심비디움의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
심비디움의 겨울최저온도 알려 주세요.,겨울최저온도는 10℃ 
심비디움의 습도 알려 주세요.,습도는 70% 이상 
심비디움의 물주기 알려 주세요.,"물주기 봄은 화분 흙 대부분 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
싱고니움의 관리요구도 알려 주세요.,관리요구도는 필요함 
싱고니움의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
싱고니움의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
싱고니움의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
싱고니움의 겨울최저온도 알려 주세요.,겨울최저온도는 10℃ 
싱고니움의 습도 알려 주세요.,습도는 40 에서 70% 
싱고니움의 비료 알려 주세요.,비료는 보통 요구함 
싱고니움의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
아글라오네마의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
아글라오네마의 광요구도 알려 주세요.,"광요구도는 낮은 광도(300에서 800 Lux),중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
아글라오네마의 배치장소 알려 주세요.,"배치장소는 실내 어두운 곳 (실내깊이 500 이상cm),거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
아글라오네마의 생장속도 알려 주세요.,생장속도는 보통 
아글라오네마의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
아글라오네마의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
아글라오네마의 습도 알려 주세요.,습도는 40 에서 70% 
아글라오네마의 비료 알려 주세요.,비료는 보통 요구함 
아글라오네마의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
아글라오네마의 병충해 알려 주세요.,병충해는 깍지벌레 
아데니움의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
아데니움의 광요구도 알려 주세요.,"광요구도는 높은 광도(1,500에서 10,000 Lux) "
아데니움의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
아데니움의 생장속도 알려 주세요.,생장속도는 느림 
아데니움의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
아데니움의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
아데니움의 습도 알려 주세요.,습도는 40 에서 70% 
아데니움의 비료 알려 주세요.,"비료는 보통 요구함(2회/년, 4월, 7월) "
아데니움의 토양 알려 주세요.,토양은 배수 잘 됨 
아데니움의 물주기 알려 주세요.,"물주기 봄은 화분 흙 대부분 말랐을때 충분히 관수함 ,여름은 화분 흙 대부분 말랐을때 충분히 관수함 ,가을은 화분 흙 대부분 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
아디안텀의 관리요구도 알려 주세요.,관리요구도는 특별 관리 요구 
아디안텀의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
아디안텀의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
아디안텀의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
아디안텀의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
아디안텀의 습도 알려 주세요.,습도는 40 에서 70% 
아디안텀의 비료 알려 주세요.,비료는 보통 요구함 
아디안텀의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
아디안텀의 병충해 알려 주세요.,병충해는 응애 
아라우카리아의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
아라우카리아의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
아라우카리아의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
아라우카리아의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
아라우카리아의 겨울최저온도 알려 주세요.,겨울최저온도는 5℃ 
아라우카리아의 습도 알려 주세요.,습도는 40 에서 70% 
아라우카리아의 비료 알려 주세요.,비료는 보통 요구함 
아라우카리아의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
아라우카리아의 병충해 알려 주세요.,"병충해는 개각충, 응애, 총채벌레 "
아레카야자의 관리요구도 알려 주세요.,관리요구도는 필요함 
아레카야자의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
아레카야자의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
아레카야자의 생장속도 알려 주세요.,생장속도는 빠름 
아레카야자의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
아레카야자의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
아레카야자의 습도 알려 주세요.,습도는 40 에서 70% 
아레카야자의 비료 알려 주세요.,비료는 많이 요구함 
아레카야자의 토양 알려 주세요.,토양은 증산율이 높기 때문에 수경재배나 지하관수로도 키울 수 있다. 수경재배나 지하관수를 하면 
아레카야자의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
아레카야자의 병충해 알려 주세요.,병충해는 실내가 너무 건조하면 응애가 생길 수 있으며 잎 끝이 갈색으로 변한다. 
아마릴리스의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
아마릴리스의 광요구도 알려 주세요.,"광요구도는 높은 광도(1,500에서 10,000 Lux) "
아마릴리스의 배치장소 알려 주세요.,"배치장소는 발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
아마릴리스의 생장속도 알려 주세요.,생장속도는 보통 
아마릴리스의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
아마릴리스의 겨울최저온도 알려 주세요.,겨울최저온도는 7℃ 
아마릴리스의 습도 알려 주세요.,습도는 40 에서 70% 
아마릴리스의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
아스파라거스 풀루모수스의 관리요구도 알려 주세요.,관리요구도는 필요함 
아스파라거스 풀루모수스의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
아스파라거스 풀루모수스의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
아스파라거스 풀루모수스의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
아스파라거스 풀루모수스의 겨울최저온도 알려 주세요.,겨울최저온도는 10℃ 
아스파라거스 풀루모수스의 습도 알려 주세요.,습도는 40 에서 70% 
아스파라거스 풀루모수스의 비료 알려 주세요.,비료는 보통 요구함 
아스파라거스 풀루모수스의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
아스플레니움의 관리요구도 알려 주세요.,관리요구도는 필요함 
아스플레니움의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
아스플레니움의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
아스플레니움의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
아스플레니움의 겨울최저온도 알려 주세요.,겨울최저온도는 10℃ 
아스플레니움의 습도 알려 주세요.,습도는 40 에서 70% 
아스플레니움의 비료 알려 주세요.,"비료는 보통 요구함 (1회/년, 봄) "
아스플레니움의 물주기 알려 주세요.,"물주기 봄은 항상 흙을 축축하게 유지함(물에 잠김) ,여름은 항상 흙을 축축하게 유지함(물에 잠김) ,가을은 항상 흙을 축축하게 유지함(물에 잠김) ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
아스플레니움의 병충해 알려 주세요.,병충해는 깍지벌레 
아왜나무의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
아왜나무의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
아왜나무의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
아왜나무의 생장속도 알려 주세요.,생장속도는 보통 
아왜나무의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
아왜나무의 겨울최저온도 알려 주세요.,겨울최저온도는 0℃ 이하 
아왜나무의 습도 알려 주세요.,습도는 40 에서 70% 
아왜나무의 비료 알려 주세요.,비료는 보통 요구함 
아왜나무의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
아이비의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
아이비의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
아이비의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
아이비의 생장속도 알려 주세요.,생장속도는 빠름 
아이비의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
아이비의 겨울최저온도 알려 주세요.,겨울최저온도는 5℃ 
아이비의 습도 알려 주세요.,습도는 40 에서 70% 
아이비의 비료 알려 주세요.,비료는 보통 요구함 
아이비의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
아펠란드라의 관리요구도 알려 주세요.,관리요구도는 필요함 
아펠란드라의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
아펠란드라의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
아펠란드라의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
아펠란드라의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
아펠란드라의 습도 알려 주세요.,습도는 40 에서 70% 
아펠란드라의 비료 알려 주세요.,비료는 보통 요구함 
아펠란드라의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
아펠란드라의 병충해 알려 주세요.,"병충해는 온실가루이, 깍지벌레, 응애 "
아프리칸 바이올렛의 관리요구도 알려 주세요.,관리요구도는 필요함 
아프리칸 바이올렛의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
아프리칸 바이올렛의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
아프리칸 바이올렛의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
아프리칸 바이올렛의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
아프리칸 바이올렛의 습도 알려 주세요.,습도는 40 에서 70% 
아프리칸 바이올렛의 비료 알려 주세요.,비료는 보통 요구함 
아프리칸 바이올렛의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
안수리움의 관리요구도 알려 주세요.,관리요구도는 필요함 
안수리움의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
안수리움의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
안수리움의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
안수리움의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
안수리움의 습도 알려 주세요.,습도는 40 에서 70% 
안수리움의 비료 알려 주세요.,비료는 보통 요구함 
안수리움의 토양 알려 주세요.,"토양은 포름알데히드, 자일렌, 암모니아 "
안수리움의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
안수리움의 병충해 알려 주세요.,"병충해는 깍지벌레, 개각충, 진딧물, 응애 "
알로카시아 아마조니카의 관리요구도 알려 주세요.,관리요구도는 필요함 
알로카시아 아마조니카의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
알로카시아 아마조니카의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
알로카시아 아마조니카의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
알로카시아 아마조니카의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
알로카시아 아마조니카의 습도 알려 주세요.,습도는 40 에서 70% 
알로카시아 아마조니카의 비료 알려 주세요.,비료는 보통 요구함 
알로카시아 아마조니카의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
알로카시아 쿠쿨라타의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
알로카시아 쿠쿨라타의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
알로카시아 쿠쿨라타의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
알로카시아 쿠쿨라타의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
알로카시아 쿠쿨라타의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
알로카시아 쿠쿨라타의 습도 알려 주세요.,습도는 40 에서 70% 
알로카시아 쿠쿨라타의 비료 알려 주세요.,비료는 보통 요구함 
알로카시아 쿠쿨라타의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
얼룩자주달개비의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
얼룩자주달개비의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
얼룩자주달개비의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
얼룩자주달개비의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
얼룩자주달개비의 겨울최저온도 알려 주세요.,겨울최저온도는 10℃ 
얼룩자주달개비의 습도 알려 주세요.,습도는 40 에서 70% 
얼룩자주달개비의 비료 알려 주세요.,비료는 보통 요구함 
얼룩자주달개비의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
얼룩자주달개비의 병충해 알려 주세요.,"병충해는 깍지벌레, 진딧물 "
에메랄드리플 페페로미아의 관리요구도 알려 주세요.,관리요구도는 필요함 
에메랄드리플 페페로미아의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
에메랄드리플 페페로미아의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm) "
에메랄드리플 페페로미아의 생장속도 알려 주세요.,생장속도는 느림 
에메랄드리플 페페로미아의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
에메랄드리플 페페로미아의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
에메랄드리플 페페로미아의 습도 알려 주세요.,습도는 40 에서 70% 
에메랄드리플 페페로미아의 비료 알려 주세요.,비료는 보통 요구함 
에크메아 파시아타의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
에크메아 파시아타의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
에크메아 파시아타의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
에크메아 파시아타의 생장속도 알려 주세요.,생장속도는 보통 
에크메아 파시아타의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
에크메아 파시아타의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
에크메아 파시아타의 습도 알려 주세요.,습도는 40 에서 70% 
에크메아 파시아타의 비료 알려 주세요.,비료는 보통 요구함 
에크메아 파시아타의 토양 알려 주세요.,토양은 포름알데히드 
에크메아 파시아타의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
엘라티올 베고니아의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
엘라티올 베고니아의 광요구도 알려 주세요.,"광요구도는 높은 광도(1,500에서 10,000 Lux) "
엘라티올 베고니아의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
엘라티올 베고니아의 생장속도 알려 주세요.,생장속도는 보통 
엘라티올 베고니아의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
엘라티올 베고니아의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
엘라티올 베고니아의 습도 알려 주세요.,습도는 40 에서 70% 
엘라티올 베고니아의 비료 알려 주세요.,"비료는 보통 요구함 (2주, 개화시 제외) "
엘라티올 베고니아의 토양 알려 주세요.,"토양은 중성,산성 / 배수 잘 됨 / 타입-Loam "
